x_cm,y_cm,damage
0.0,10.0,0.3298435442469621
0.0,15.0,0.1892474250705829
0.0,20.0,0.1287847004179662
0.0,25.0,0.0840739597731566
0.0,30.0,0.0781977868860545
0.0,35.0,0.1025014014741279
0.0,40.0,0.1030691153029782
0.0,45.0,0.0971852712153152
0.0,50.0,0.0918662580118414
0.0,55.0,0.07727619892525
0.0,60.0,0.0667525721960644
0.0,65.0,0.0574015137568159
0.0,70.0,0.046459634271436
0.0,75.0,0.0448463557046755
0.0,80.0,0.0389201405966294
0.0,85.0,0.035778380778315
0.0,90.0,0.0414620331732685
0.0,95.0,0.0453967429819615
0.0,100.0,0.0374519850022986
5.0,10.0,0.297511314763121
5.0,15.0,0.1945492895870649
5.0,20.0,0.1216012383588133
5.0,25.0,0.0871471844537375
5.0,30.0,0.084813357198666
5.0,35.0,0.1044424582983782
5.0,40.0,0.0956354777270784
5.0,45.0,0.0912131526026998
5.0,50.0,0.0878404401834608
5.0,55.0,0.0758476504482088
5.0,60.0,0.0639913266309091
5.0,65.0,0.0562722284144682
5.0,70.0,0.0495827648333523
5.0,75.0,0.0458207639251516
5.0,80.0,0.0391167809703668
5.0,85.0,0.0406878230962067
5.0,90.0,0.0453152079714169
5.0,95.0,0.0392229500302245
5.0,100.0,0.0392559878771377
10.0,10.0,0.296089156450988
10.0,15.0,0.187157389113173
10.0,20.0,0.1217077440233102
10.0,25.0,0.0985242632774668
10.0,30.0,0.0915274404478873
10.0,35.0,0.1012777607585863
10.0,40.0,0.0962046975447121
10.0,45.0,0.0903320607647508
10.0,50.0,0.0839868365462454
10.0,55.0,0.0802104628902596
10.0,60.0,0.0714144100432428
10.0,65.0,0.0612501653801661
10.0,70.0,0.0562388030420966
10.0,75.0,0.0516663422519063
10.0,80.0,0.0468984492945007
10.0,85.0,0.04852555609384
10.0,90.0,0.0453158011766502
10.0,95.0,0.0445913868301303
10.0,100.0,0.0389313962326439
15.0,10.0,0.2988716442821472
15.0,15.0,0.1857019373283839
15.0,20.0,0.1209156239770509
15.0,25.0,0.1075365336448705
15.0,30.0,0.0981916654017219
15.0,35.0,0.1009180563027919
15.0,40.0,0.1000931286699558
15.0,45.0,0.0872093431862785
15.0,50.0,0.0843779307124909
15.0,55.0,0.080532303946724
15.0,60.0,0.0642911387788887
15.0,65.0,0.0614311400358047
15.0,70.0,0.0597263790146246
15.0,75.0,0.0542887135058765
15.0,80.0,0.0496327488022587
15.0,85.0,0.0507294340081168
15.0,90.0,0.0507453541113478
15.0,95.0,0.0443818667739392
15.0,100.0,0.0371835548665758
20.0,10.0,0.3115743410177115
20.0,15.0,0.1865910312172213
20.0,20.0,0.1280624341429706
20.0,25.0,0.1154652474016302
20.0,30.0,0.1022124688024522
20.0,35.0,0.0866069770681132
20.0,40.0,0.0834268406432907
20.0,45.0,0.0749629639751128
20.0,50.0,0.0809938567478689
20.0,55.0,0.0741070678352559
20.0,60.0,0.067412262411714
20.0,65.0,0.0614448185651354
20.0,70.0,0.0560452715261145
20.0,75.0,0.0554030228699522
20.0,80.0,0.0621636968450552
20.0,85.0,0.0504245339412733
20.0,90.0,0.0458164834306085
20.0,95.0,0.0413387086996566
20.0,100.0,0.0381200371596765
25.0,10.0,0.3225976301360744
25.0,15.0,0.1920553480883304
25.0,20.0,0.1405298637352687
25.0,25.0,0.1220310028924812
25.0,30.0,0.0914086802968004
25.0,35.0,0.0827761514943647
25.0,40.0,0.0718405475824173
