x_cm,y_cm,damage
0.0,10.0,0.5362915274508758
0.0,15.0,0.5015548347007716
0.0,20.0,0.4298496827703842
0.0,25.0,0.3480891053479196
0.0,30.0,0.3027807075356546
0.0,35.0,0.2484089331527438
0.0,40.0,0.2262699450709451
0.0,45.0,0.2228462859311053
0.0,50.0,0.2303072072940849
0.0,55.0,0.2437477171818583
0.0,60.0,0.2501264011462071
0.0,65.0,0.2299132763310594
0.0,70.0,0.2152603621986092
0.0,75.0,0.2219898522080723
0.0,80.0,0.1703672043152014
0.0,85.0,0.18032728558093
0.0,90.0,0.1693450337408277
0.0,95.0,0.1395420725242392
0.0,100.0,0.1255510552097424
5.0,10.0,0.5567120349581404
5.0,15.0,0.4471546671932946
5.0,20.0,0.4222540465135545
5.0,25.0,0.3402101283505266
5.0,30.0,0.2863914827198242
5.0,35.0,0.2690787926675088
5.0,40.0,0.232144302464359
5.0,45.0,0.2374557490010957
5.0,50.0,0.2292659473933302
5.0,55.0,0.2509260756069696
5.0,60.0,0.2668516344197018
5.0,65.0,0.2228268938983592
5.0,70.0,0.2068547848571761
5.0,75.0,0.1963359334196232
5.0,80.0,0.1817460032964329
5.0,85.0,0.1721378280076479
5.0,90.0,0.1479956294174729
5.0,95.0,0.140420466484066
5.0,100.0,0.1351906500234529
10.0,10.0,0.6062929752977569
10.0,15.0,0.497440280808528
10.0,20.0,0.4151977370702669
10.0,25.0,0.3421709252660321
10.0,30.0,0.3166561425167584
10.0,35.0,0.2736259457272751
10.0,40.0,0.2186641395647925
10.0,45.0,0.2208387528836428
10.0,50.0,0.2100561724275715
10.0,55.0,0.2374180860837967
10.0,60.0,0.2278678030721183
10.0,65.0,0.2438598415358469
10.0,70.0,0.209706900010772
10.0,75.0,0.1780215025339023
10.0,80.0,0.1821950228290693
10.0,85.0,0.1634435141357131
10.0,90.0,0.1615600403858189
10.0,95.0,0.1541358896334576
10.0,100.0,0.1323602764996156
15.0,10.0,0.622018116477346
15.0,15.0,0.5178859473544747
15.0,20.0,0.4012021772477457
15.0,25.0,0.3383857993003523
15.0,30.0,0.3329288701990198
15.0,35.0,0.2913251759108372
15.0,40.0,0.2550387944027719
15.0,45.0,0.2521916687296298
15.0,50.0,0.2327150615919787
15.0,55.0,0.2263454744954338
15.0,60.0,0.2320105381752684
15.0,65.0,0.2221655998777644
15.0,70.0,0.2146598263063821
15.0,75.0,0.1737568473971641
15.0,80.0,0.1817147359251051
15.0,85.0,0.1624134366953418
15.0,90.0,0.1584387033016618
15.0,95.0,0.151108864770948
15.0,100.0,0.1421524466746405
20.0,10.0,0.6104297653542489
20.0,15.0,0.4681020185790834
20.0,20.0,0.4059495082220643
20.0,25.0,0.370524345813425
20.0,30.0,0.3610280996417532
20.0,35.0,0.2918545495627572
20.0,40.0,0.2602132518419523
20.0,45.0,0.225516592824541
20.0,50.0,0.2334641968782106
20.0,55.0,0.2253541618685296
20.0,60.0,0.2060132523348429
20.0,65.0,0.1786476995698401
20.0,70.0,0.1980463831325105
20.0,75.0,0.1777384890339005
20.0,80.0,0.155860966445666
20.0,85.0,0.1425688929543815
20.0,90.0,0.1315042033219559
20.0,95.0,0.1354478590787926
20.0,100.0,0.1319649483590317
25.0,10.0,0.6111145580673502
25.0,15.0,0.5325673889778566
25.0,20.0,0.423787188762403
25.0,25.0,0.3839366148260107
25.0,30.0,0.3375042501628546
25.0,35.0,0.3152292082595892
25.0,40.0,0.2666290938263345
25.0,45.0,0.2225110456095744
25.0,50.0,0.2048158394350125
25.0,55.0,0.2019864730455384
25.0,60.0,0.2016047282902008
25.0,65.0,0.1767043431034888
25.0,70.0,0.1627895941884529
25.0,75.0,0.1421345543800644
