x_cm,y_cm,damage
0.0,10.0,0.4948969960115731
0.0,15.0,0.3636876542214756
0.0,20.0,0.2451321854167826
0.0,25.0,0.1829506285166875
0.0,30.0,0.1264532748180329
0.0,35.0,0.1295224516277586
0.0,40.0,0.1558526859652476
0.0,45.0,0.1587779869197832
0.0,50.0,0.156403370213903
0.0,55.0,0.1608994354329695
0.0,60.0,0.1378973186267011
0.0,65.0,0.1311421712831433
0.0,70.0,0.1136477033940132
0.0,75.0,0.1102773214784252
0.0,80.0,0.1200127344187725
0.0,85.0,0.114026434227682
0.0,90.0,0.0958591644189138
0.0,95.0,0.0910601388618835
0.0,100.0,0.0866890577171004
5.0,10.0,0.5141169064915605
5.0,15.0,0.336721604800141
5.0,20.0,0.2497904539219989
5.0,25.0,0.1909319860801116
5.0,30.0,0.1405651542179321
5.0,35.0,0.1255208574205497
5.0,40.0,0.1540467952166599
5.0,45.0,0.1562279242330871
5.0,50.0,0.1639039691524409
5.0,55.0,0.1483859566401511
5.0,60.0,0.1451649653000889
5.0,65.0,0.1330336594362177
5.0,70.0,0.1082041336958073
5.0,75.0,0.1181675035668141
5.0,80.0,0.1142790164519833
5.0,85.0,0.1112556715389488
5.0,90.0,0.1065355954980363
5.0,95.0,0.10230327038401
5.0,100.0,0.0868558777305904
10.0,10.0,0.4648907008317532
10.0,15.0,0.3317040390745545
10.0,20.0,0.2629090810569418
10.0,25.0,0.1951018880172306
10.0,30.0,0.1598896091588123
10.0,35.0,0.1349567125955906
10.0,40.0,0.1437617440673112
10.0,45.0,0.1556212827507783
10.0,50.0,0.1502860777551006
10.0,55.0,0.1517495109912625
10.0,60.0,0.1326828967503121
10.0,65.0,0.1275491642560853
10.0,70.0,0.1285333972759661
10.0,75.0,0.1203644030471688
10.0,80.0,0.1166944904755558
10.0,85.0,0.104774988637438
10.0,90.0,0.1067673918052817
10.0,95.0,0.1057260577673561
10.0,100.0,0.1023879335731282
15.0,10.0,0.4784927987450874
15.0,15.0,0.3457391929957241
15.0,20.0,0.2557945756044572
15.0,25.0,0.2065990607793264
15.0,30.0,0.175132184344847
15.0,35.0,0.1448236916052669
15.0,40.0,0.1460107315358061
15.0,45.0,0.1469759341360026
15.0,50.0,0.1539675306796181
15.0,55.0,0.1364686244684822
15.0,60.0,0.1418529680298835
15.0,65.0,0.124608386382302
15.0,70.0,0.1198973787650117
15.0,75.0,0.1103819596489558
15.0,80.0,0.0972350230078434
15.0,85.0,0.0974975201675156
15.0,90.0,0.1028637017336539
15.0,95.0,0.0996875405989734
15.0,100.0,0.0987766648772554
20.0,10.0,0.4639234082592464
20.0,15.0,0.3389041255559767
20.0,20.0,0.2634765142338178
20.0,25.0,0.2197004855673566
20.0,30.0,0.1911080214312094
20.0,35.0,0.1613463624378694
20.0,40.0,0.128285430595954
20.0,45.0,0.1340030816173984
20.0,50.0,0.1371052530869174
20.0,55.0,0.1184520193806543
20.0,60.0,0.1184475215654126
20.0,65.0,0.1056538163389971
20.0,70.0,0.0968296118323129
20.0,75.0,0.1002317007033514
20.0,80.0,0.092397121781714
20.0,85.0,0.1016677186475642
20.0,90.0,0.0999157801620258
20.0,95.0,0.1037730787901748
20.0,100.0,0.096724565654437
25.0,10.0,0.483415189663691
25.0,15.0,0.3353672252600759
25.0,20.0,0.2770235649674316
25.0,25.0,0.2371780742892328
25.0,30.0,0.1895485708614468
25.0,35.0,0.1543637852243878
25.0,40.0,0.133272005547924
25.0,45.0,0.1280917321940985
25.0,50.0,0.1282443404100118
25.0,55.0,0.1165222655814672
25.0,60.0,0.1012275281068711
25.0,65.0,0.0999030582163508
25.0,70.0,0.0926024442578664
25.0,75.0,0.0972839321837205
25.0,80.0,0.0932858687496897
25.0,85.0,0.0967495063921697
25.0,90.0,0.09311512708953
25.0,95.0,0.1005940019186927
25.0,100.0,0.0862626136097545
30.0,10.0,0.5128428689527721
30.0,15.0,0.3527301652077652
30.0,20.0,0.3120547543673472
30.0,25.0,0.2181484078186788
30.0,30.0,0.1942017392107997
30.0,35.0,0.1577681750336862
30.0,40.0,0.1169845038743758
30.0,45.0,0.1270381565317934
30.0,50.0,0.1113829678812483
30.0,55.0,0.104455142682015
30.0,60.0,0.0970790410232228
30.0,65.0,0.1044096738699273
30.0,70.0,0.0988864287809209
30.0,75.0,0.0862950172313691
30.0,80.0,0.0829703241900783
30.0,85.0,0.0847485657371929
30.0,90.0,0.090949231318131
30.0,95.0,0.0901715110088192
30.0,100.0,0.0875132182741633
35.0,10.0,0.5073529278561608
35.0,15.0,0.3825005111541637
35.0,20.0,0.2838620386987355
35.0,25.0,0.2429072684246227
35.0,30.0,0.1927924838338233
