x_cm,y_cm,damage
0.0,10.0,0.5578549039518197
0.0,15.0,0.4760553838458863
0.0,20.0,0.4001622085220361
0.0,25.0,0.2942441874516681
0.0,30.0,0.2482114872614233
0.0,35.0,0.2175184907346048
0.0,40.0,0.2343558461762366
0.0,45.0,0.2241971937240533
0.0,50.0,0.2282463406013507
0.0,55.0,0.2395423482203088
0.0,60.0,0.218041628794477
0.0,65.0,0.1937272767329121
0.0,70.0,0.1863216907636595
0.0,75.0,0.18651251783761
0.0,80.0,0.1723755394581988
0.0,85.0,0.1552321551147673
0.0,90.0,0.1329393539396847
0.0,95.0,0.1303471539164431
0.0,100.0,0.1375253335928079
5.0,10.0,0.6299851490947604
5.0,15.0,0.4552219789126085
5.0,20.0,0.4323212269620464
5.0,25.0,0.3278645181085093
5.0,30.0,0.2543249134014
5.0,35.0,0.2222322924361727
5.0,40.0,0.2241057813475219
5.0,45.0,0.2070861010558946
5.0,50.0,0.2262420639423782
5.0,55.0,0.2623548239891554
5.0,60.0,0.227960605983326
5.0,65.0,0.2041132983802765
5.0,70.0,0.1919478813114046
5.0,75.0,0.1811238521024256
5.0,80.0,0.1833398375434853
5.0,85.0,0.1486646333524566
5.0,90.0,0.1391279213991548
5.0,95.0,0.1311261602213281
5.0,100.0,0.114225700189902
10.0,10.0,0.5907211025515074
10.0,15.0,0.4772924893437945
10.0,20.0,0.4137186313420639
10.0,25.0,0.3055968927757951
10.0,30.0,0.27152407007887
10.0,35.0,0.2238578024014613
10.0,40.0,0.2323636894376982
10.0,45.0,0.2097674697245475
10.0,50.0,0.2061696506543299
10.0,55.0,0.2174195416819768
10.0,60.0,0.2258402410382979
10.0,65.0,0.1991954765730072
10.0,70.0,0.1764874111205371
10.0,75.0,0.1634123629689166
10.0,80.0,0.1572477821896646
10.0,85.0,0.1437127204193459
10.0,90.0,0.1377262582022602
10.0,95.0,0.1290762281097312
10.0,100.0,0.1204700775456315
15.0,10.0,0.583169864541087
15.0,15.0,0.4385580177442726
15.0,20.0,0.4127273129860941
15.0,25.0,0.3201786867091137
15.0,30.0,0.2715224850003708
15.0,35.0,0.226723120861812
15.0,40.0,0.2202433889866943
15.0,45.0,0.2003935140846645
15.0,50.0,0.2297454186940076
15.0,55.0,0.2047196521121092
15.0,60.0,0.2127139261527375
15.0,65.0,0.2115976266546809
15.0,70.0,0.1769649175726577
15.0,75.0,0.1581368690881552
15.0,80.0,0.1670617761163739
15.0,85.0,0.144366748232554
15.0,90.0,0.1283710557162259
15.0,95.0,0.1238723408294014
15.0,100.0,0.1143190106527999
20.0,10.0,0.5809906713597559
20.0,15.0,0.4942560904758331
20.0,20.0,0.4002997637318108
20.0,25.0,0.3363074791117014
20.0,30.0,0.3169644537048188
20.0,35.0,0.2606087639040572
20.0,40.0,0.2368679798282643
20.0,45.0,0.1822530428979926
20.0,50.0,0.2037075176704496
20.0,55.0,0.1876048798655255
20.0,60.0,0.1905288125341323
20.0,65.0,0.1770486309546112
20.0,70.0,0.1649002140472969
20.0,75.0,0.147468775219513
20.0,80.0,0.1388943999676539
20.0,85.0,0.1378120945587004
20.0,90.0,0.1347571122109567
20.0,95.0,0.1127313515853615
20.0,100.0,0.1123302502858185
25.0,10.0,0.6008997483547411
25.0,15.0,0.4604352391535705
25.0,20.0,0.4211413010822167
25.0,25.0,0.3527601962154927
25.0,30.0,0.3094617129830355
25.0,35.0,0.2650364300034913
25.0,40.0,0.2372102972946627
25.0,45.0,0.2424361016718237
25.0,50.0,0.1950638410036484
25.0,55.0,0.1741761352872704
25.0,60.0,0.1842974069916259
25.0,65.0,0.1667363338188536
25.0,70.0,0.1525445696505303
25.0,75.0,0.1341277800505428
25.0,80.0,0.1307987106132532
25.0,85.0,0.1202509943395011
25.0,90.0,0.1297540196729817
25.0,95.0,0.1194731276608203
25.0,100.0,0.1127935232431204
30.0,10.0,0.6040914207672589
30.0,15.0,0.5030205023234661
30.0,20.0,0.4558583737519756
30.0,25.0,0.353640060861865
30.0,30.0,0.3133241771839554
30.0,35.0,0.2811537860105441
30.0,40.0,0.2646242375985111
30.0,45.0,0.2067333178566963
30.0,50.0,0.179622713040112
30.0,55.0,0.1909557944418915
30.0,60.0,0.1934032995999626
30.0,65.0,0.1774666125085705
30.0,70.0,0.1607219889921808
30.0,75.0,0.1316112195774164
30.0,80.0,0.1364654306950895
30.0,85.0,0.117929081244697
30.0,90.0,0.1263108614842089
30.0,95.0,0.1133225343534914
30.0,100.0,0.1242295457257501
35.0,10.0,0.568087640925701
35.0,15.0,0.5113339728666115
35.0,20.0,0.4317800228446321
35.0,25.0,0.3590587503848449
35.0,30.0,0.3080070685283086
35.0,35.0,0.2713187214859294
35.0,40.0,0.2592214686190786
35.0,45.0,0.2176167946474903
35.0,50.0,0.2199745172831952
35.0,55.0,0.1738899078941861
35.0,60.0,0.1755181682230059
35.0,65.0,0.1702120981843397
35.0,70.0,0.1581928715839116
35.0,75.0,0.1567920335414112
35.0,80.0,0.1500770396782053
35.0,85.0,0.1402781106581194
35.0,90.0,0.1378210288618019
35.0,95.0,0.1408133591374092
35.0,100.0,0.1286807762217523
40.0,10.0,0.5437829326640599
40.0,15.0,0.4981337446561764
40.0,20.0,0.4185837908228008
40.0,25.0,0.3460990354200713
40.0,30.0,0.3184289457012018
40.0,35.0,0.2896551899050143
40.0,40.0,0.2428785761916271
40.0,45.0,0.2120814342102704
40.0,50.0,0.2069471163715618
40.0,55.0,0.1619788942428053
40.0,60.0,0.1563183336260878
40.0,65.0,0.1486139173278947
40.0,70.0,0.142526670663672
40.0,75.0,0.139062545624685
40.0,80.0,0.1286030943492359
40.0,85.0,0.1188641036928793
40.0,90.0,0.1190257159332441
40.0,95.0,0.113487956881073
40.0,100.0,0.1222712797641174
45.0,10.0,0.5107330963795423
45.0,15.0,0.4546643606719961
45.0,20.0,0.3926318790222444
45.0,25.0,0.353053565944961
45.0,30.0,0.2720629740367158
45.0,35.0,0.2401070945913579
45.0,40.0,0.2242159453146625
45.0,45.0,0.1888850499998138
45.0,50.0,0.1612948204057286
45.0,55.0,0.1671404065573916
45.0,60.0,0.1620835565377954
45.0,65.0,0.1413238098833406
45.0,70.0,0.1449939563313916
45.0,75.0,0.1301008670995817
45.0,80.0,0.1214937156539417
45.0,85.0,0.1193247328731098
45.0,90.0,0.12011077639683
45.0,95.0,0.1157145632164863
45.0,100.0,0.114482339066543
