x_cm,y_cm,damage
0.0,10.0,0.4219931452473499
0.0,15.0,0.2867767161155762
0.0,20.0,0.2088058623308754
0.0,25.0,0.1517389619621924
0.0,30.0,0.1101918369639497
0.0,35.0,0.1191365547584502
0.0,40.0,0.1194019894349964
0.0,45.0,0.137130001901907
0.0,50.0,0.1397341885544053
0.0,55.0,0.1233482881918327
0.0,60.0,0.1201271832664119
0.0,65.0,0.1024824002594527
0.0,70.0,0.1034438060146638
0.0,75.0,0.0954798551454497
0.0,80.0,0.0853153576103284
0.0,85.0,0.0749836715396277
0.0,90.0,0.0687511657473969
0.0,95.0,0.0637916915407343
0.0,100.0,0.057734738374303
5.0,10.0,0.4312008355611416
5.0,15.0,0.2862409350982872
5.0,20.0,0.2044053155859231
5.0,25.0,0.1447881079775095
5.0,30.0,0.1137440310536154
5.0,35.0,0.1138525213061666
5.0,40.0,0.1219672490083728
5.0,45.0,0.1317607072194348
5.0,50.0,0.1222676188265563
5.0,55.0,0.1106119918630623
5.0,60.0,0.1103657104764579
5.0,65.0,0.1077465215047955
5.0,70.0,0.1084085387449017
5.0,75.0,0.0919142314684731
5.0,80.0,0.0899738366403145
5.0,85.0,0.0734825615605231
5.0,90.0,0.0674272073175634
5.0,95.0,0.0642173462242027
5.0,100.0,0.0610090024901961
10.0,10.0,0.3979813779763629
10.0,15.0,0.2921746367298751
10.0,20.0,0.2087477563256853
10.0,25.0,0.1524387767256812
10.0,30.0,0.1196036947823338
10.0,35.0,0.1156410035651794
10.0,40.0,0.1206391458984337
10.0,45.0,0.1393533406440646
10.0,50.0,0.120990697603298
10.0,55.0,0.1145163342276862
10.0,60.0,0.1127799195759381
10.0,65.0,0.1035035862955745
10.0,70.0,0.0981363510669852
10.0,75.0,0.0901912656355188
10.0,80.0,0.0906896462041
10.0,85.0,0.0840769980296188
10.0,90.0,0.0680021642475874
10.0,95.0,0.0675242337133489
10.0,100.0,0.0641283578971188
15.0,10.0,0.4239876336564697
15.0,15.0,0.2857567025496209
15.0,20.0,0.2105533487532683
15.0,25.0,0.1560660765941542
15.0,30.0,0.1491166379874959
15.0,35.0,0.117571765223449
15.0,40.0,0.1215506668897535
15.0,45.0,0.1217197523336019
15.0,50.0,0.1158786805210254
15.0,55.0,0.0988246232998492
15.0,60.0,0.0983683374731343
15.0,65.0,0.0972719667284482
15.0,70.0,0.0990729693305216
15.0,75.0,0.0920689854487488
