x_cm,y_cm,damage
0.0,10.0,0.5498585385802667
0.0,15.0,0.3999357742060989
0.0,20.0,0.3151168993331181
0.0,25.0,0.2380927842886925
0.0,30.0,0.1907603616984991
0.0,35.0,0.1565875839226315
0.0,40.0,0.1668841495032307
0.0,45.0,0.1857598505088579
0.0,50.0,0.2129545485801511
0.0,55.0,0.1943040931118133
0.0,60.0,0.1748301367630693
0.0,65.0,0.1607606015900128
0.0,70.0,0.1559209741302296
0.0,75.0,0.1618293379716596
0.0,80.0,0.1353336561156755
0.0,85.0,0.128778889457236
0.0,90.0,0.1199706407764443
0.0,95.0,0.1174335454765004
0.0,100.0,0.1145213747521527
5.0,10.0,0.5209032997385447
5.0,15.0,0.3837993191317971
5.0,20.0,0.3054178007919404
5.0,25.0,0.2482264628149657
5.0,30.0,0.1949040306237381
5.0,35.0,0.1761409406773377
5.0,40.0,0.1623693094751847
5.0,45.0,0.1803147529585075
5.0,50.0,0.2162865689892622
5.0,55.0,0.1891945225479845
5.0,60.0,0.1835439865694446
5.0,65.0,0.1699848777648976
5.0,70.0,0.1510775213572286
5.0,75.0,0.1390641092039521
5.0,80.0,0.1296694435752849
5.0,85.0,0.1218335541266533
5.0,90.0,0.1134132067983351
5.0,95.0,0.1136182706491572
5.0,100.0,0.1199287098566234
10.0,10.0,0.5438533896245976
10.0,15.0,0.4070706338337612
10.0,20.0,0.3167635145680911
10.0,25.0,0.2484605147797895
10.0,30.0,0.2149615179159635
10.0,35.0,0.1926124787435039
10.0,40.0,0.1757585574683766
10.0,45.0,0.2005820504665527
10.0,50.0,0.1830834091947216
10.0,55.0,0.1887446714437264
10.0,60.0,0.1737070378081729
10.0,65.0,0.1663508336467897
10.0,70.0,0.1567347354663467
10.0,75.0,0.143785888779356
10.0,80.0,0.1199348409615305
10.0,85.0,0.1181901623738256
10.0,90.0,0.1137005019085678
10.0,95.0,0.1070691544345921
10.0,100.0,0.1132889192404992
15.0,10.0,0.5302892156526068
15.0,15.0,0.3887221901052749
15.0,20.0,0.3321895251311195
15.0,25.0,0.2648520216735302
15.0,30.0,0.2240515674214358
15.0,35.0,0.2017156437793856
15.0,40.0,0.1609319710748336
15.0,45.0,0.1794959917117157
15.0,50.0,0.1742131112493031
15.0,55.0,0.1701837283278759
15.0,60.0,0.1533388786594267
15.0,65.0,0.1570811842677325
15.0,70.0,0.129946989555205
15.0,75.0,0.128454117829131
15.0,80.0,0.1174764635363649
15.0,85.0,0.1081994219347468
15.0,90.0,0.1194629567697248
15.0,95.0,0.1045060719507711
15.0,100.0,0.1123183704793486
20.0,10.0,0.5464117456071572
20.0,15.0,0.4224008387815988
20.0,20.0,0.3534642095566412
20.0,25.0,0.3175514412919298
20.0,30.0,0.2275041556505457
20.0,35.0,0.2153097682236875
20.0,40.0,0.1694844910867979
20.0,45.0,0.1625088135548537
20.0,50.0,0.1619975530681936
